Student Name,Student Email Id,student mobile number,Date of submission(dd-mm-yyyy format),Assignment Title,Did you made your bed?,Did you waste any food today?,How many hours did you study?,Do you feel to share something with us today?
ANINDITA. P,anindita.p@gmail.com,9512345688,08/03/2025 23:04:54,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/03/2025 23:28:51,Self Awareness,No,No,0,No electric city
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,09/03/2025 20:31:18,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,09/03/2025 21:35:05,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,09/03/2025 22:13:30,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,10/03/2025 01:54:07,Self Awareness,Yes,No,3,No
ANINDITA. P,anindita.p@gmail.com,9512345688,10/03/2025 21:22:05,Self Awareness,Yes,No,2,
JUWAN,juwan@gmail.com,9512345678,10/03/2025 22:24:09,Self Awareness,Yes,No,5,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,11/03/2025 03:16:47,Self Awareness,No,No,4,Nothing 
JUWAN,juwan@gmail.com,9512345678,11/03/2025 23:14:10,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/03/2025 02:14:00,Self Awareness,Yes,No,4,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,12/03/2025 22:38:18,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/03/2025 23:07:41,Self Awareness,Yes,Yes,5,No
JUWAN,juwan@gmail.com,9512345678,13/03/2025 08:56:10,Self Awareness,Yes,No,0,Feeling happy..eid shopping...
ANINDITA. P,anindita.p@gmail.com,9512345688,13/03/2025 22:19:31,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,13/03/2025 23:11:42,Self Awareness,Yes,No,2,Normal day...
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/03/2025 02:16:20,Self Awareness,No,No,1,Nice class 
JUWAN,juwan@gmail.com,9512345678,14/03/2025 23:05:29,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,15/03/2025 02:33:55,Self Awareness,Yes,No,5,No
JUWAN,juwan@gmail.com,9512345678,15/03/2025 22:32:50,Self Awareness,Yes,No,5,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,15/03/2025 23:05:16,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,15/03/2025 23:20:37,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/03/2025 06:16:10,Self Awareness,Yes,No,0,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,16/03/2025 20:07:39,Self Awareness,Yes,No,3,
ANINDITA. P,anindita.p@gmail.com,9512345688,16/03/2025 21:06:07,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,17/03/2025 00:54:14,Self Awareness,Yes,No,4,Nothing 
JUWAN,juwan@gmail.com,9512345678,17/03/2025 22:18:40,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,18/03/2025 01:15:43,Self Awareness,No,No,3,Iam not well 
ANINDITA. P,anindita.p@gmail.com,9512345688,18/03/2025 20:38:39,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,18/03/2025 22:32:17,Self Awareness,Yes,No,4,Exam is going well...
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,19/03/2025 04:22:20,Self Awareness,Yes,No,5,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,19/03/2025 20:34:42,Self Awareness,No,No,2,
ANINDITA. P,anindita.p@gmail.com,9512345688,19/03/2025 20:46:33,Self Awareness,No,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,19/03/2025 20:51:38,Self Awareness,No,Yes,2,
ANINDITA. P,anindita.p@gmail.com,9512345688,19/03/2025 22:22:56,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,20/03/2025 05:11:13,Self Awareness,Yes,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,20/03/2025 06:09:13,Self Awareness,No,No,4,In this exam i can write all the questions  and answers 
ANINDITA. P,anindita.p@gmail.com,9512345688,20/03/2025 22:11:00,Self Awareness,Yes,No,3,
JUWAN,juwan@gmail.com,9512345678,20/03/2025 23:19:45,Self Awareness,Yes,No,5,Today's exam was easy 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,21/03/2025 07:09:42,Self Awareness,No,No,4,No
ANINDITA. P,anindita.p@gmail.com,9512345688,21/03/2025 21:38:47,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,21/03/2025 22:16:09,Self Awareness,No,Yes,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,21/03/2025 22:27:29,Self Awareness,No,Yes,0,
JUWAN,juwan@gmail.com,9512345678,21/03/2025 22:52:21,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,22/03/2025 05:35:38,Self Awareness,No,No,3,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,22/03/2025 21:59:46,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,22/03/2025 22:17:07,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,22/03/2025 22:47:06,Self Awareness,Yes,No,2,Grand mother is coming here
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,23/03/2025 06:12:34,Self Awareness,No,No,4,No
JUWAN,juwan@gmail.com,9512345678,23/03/2025 22:23:26,Self Awareness,Yes,No,5,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,24/03/2025 20:17:07,Self Awareness,No,No,3,"Today 's my exam is very easy.So,lam very happy "
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,25/03/2025 06:50:15,Self Awareness,No,No,2,No
JUWAN,juwan@gmail.com,9512345678,25/03/2025 07:23:59,Self Awareness,Yes,No,4,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,25/03/2025 20:14:58,Self Awareness,No,No,2,Today l had hindi exam and l wrote everything because l questions l have did came and l was so happy but other students are saying that the exam was so tough but for me it was easy l came home and to my mom that it was easy for me but not other she said it is because if you put a push in studys no one can stop you then l realised she was write if l study l could do anything just put some effort and pressure if lam tired l remember the condition of my family lam studying just for my family today on words
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,26/03/2025 22:21:47,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,27/03/2025 21:51:16,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,28/03/2025 00:04:32,Self Awareness,Yes,No,0,
JUWAN,juwan@gmail.com,9512345678,29/03/2025 22:23:26,Self Awareness,Yes,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,01/04/2025 08:30:21,Self Awareness,Yes,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,04/04/2025 13:35:59,Self Awareness,No,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/04/2025 13:59:00,Self Awareness,No,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/04/2025 09:44:33,Self Awareness,No,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/04/2025 00:40:54,Self Awareness,No,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/04/2025 22:43:45,Self Awareness,Yes,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,25/04/2025 03:06:52,Self Awareness,Yes,No,0,I am soo sad for i can't come to the tour from solo class
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,01/11/2024 23:01:50,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,02/11/2024 22:36:51,,Yes,No,6,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,03/11/2024 22:30:33,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,04/11/2024 22:04:10,,No,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,05/11/2024 22:36:15,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,06/11/2024 22:34:14,,No,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,07/11/2024 22:39:02,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,08/11/2024 23:18:31,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,09/11/2024 22:23:29,,Yes,No,4,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,10/11/2024 22:35:23,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,11/11/2024 22:32:17,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,12/11/2024 22:14:31,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,16/11/2024 23:54:15,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,17/11/2024 21:39:52,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,18/11/2024 22:44:10,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,20/11/2024 00:10:22,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,20/11/2024 23:23:13,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,21/11/2024 23:04:02,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,22/11/2024 23:53:45,,No,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,24/11/2024 01:09:39,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,24/11/2024 23:57:31,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,26/11/2024 11:38:06,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,27/11/2024 01:13:34,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,28/11/2024 00:10:56,,Yes,No,4,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,29/11/2024 23:50:18,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,02/12/2024 23:26:32,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,03/12/2024 22:54:16,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,04/12/2024 23:03:12,,Yes,Yes,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,05/12/2024 23:03:04,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,07/12/2024 00:04:45,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,09/12/2024 22:47:13,,No,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,10/12/2024 22:32:55,,No,No,1,Today section was great thank you
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,11/12/2024 21:25:40,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,12/12/2024 22:31:22,,No,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,13/12/2024 23:09:39,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,07/01/2025 19:30:46,,No,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,14/01/2025 22:43:17,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,15/01/2025 22:13:32,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,18/01/2025 22:17:49,,Yes,No,0,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,19/01/2025 21:38:06,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,20/01/2025 22:59:13,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,25/01/2025 22:46:18,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,29/01/2025 22:12:48,,No,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,07/02/2025 23:03:28,,Yes,No,0,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,08/02/2025 23:05:56,,Yes,No,0,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,13/02/2025 21:55:35,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,15/02/2025 22:48:41,,Yes,No,2,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,17/02/2025 23:58:11,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,18/02/2025 22:30:28,,Yes,No,3,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,19/02/2025 22:52:58,,Yes,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,26/02/2025 13:10:41,,Yes,No,1,"26/2/25
Kiss
Yes 
No
1
2
Yes
Yes"
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,28/02/2025 22:45:23,,No,No,1,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,04/03/2025 22:52:46,,Yes,No,0,
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,05/03/2025 23:16:33,,No,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,06/03/2025 23:09:01,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,01/11/2024 21:56:25,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,02/11/2024 21:11:57,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,03/11/2024 21:15:51,,Yes,No,3,"Today my first exam is finish.It was English.Everyone said that they didn’t read the question and they didn’t answer it. For first time I didn’t make a mistake here. So Iam very happy.
we also talked about this form and all.my friends said that they do it.that’s all happen today."
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,04/11/2024 21:34:05,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,06/11/2024 21:01:58,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,07/11/2024 22:10:00,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,08/11/2024 21:09:10,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,09/11/2024 22:49:06,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,10/11/2024 21:32:27,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,11/11/2024 22:57:47,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,13/11/2024 21:27:46,,Yes,No,1,Today I had a class. The trainer was very friendly with me.Her name was Reshmi.we had discussed many things.today I had a marriage function.the function was in front of my school.I saw my teachers and some friends who were came for remedial class.we talk together.It was very fun.
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,16/11/2024 21:42:08,,Yes,No,1,Today my mother was very tired.she was working instantly.tomorrow was special day that’s why she can’t rest.I saw that and  I helped my best.she said that she was very happy.that is my happiness.
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,17/11/2024 22:33:06,,Yes,No,1,"Today I got many answer sheets I was very happy  until I got the social.I got straight A1 but in social she said that I got Low mark 30/40.But it is quite good mark .the reason why I was upset is,in all subject I got good mark sudden I got this result  and I  was little bit sad.but at last my mother messaged her and she said that she would revaluate my answersheet .it was a good news for me.I don’t know what will happen tomorrow 
"
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,18/11/2024 22:07:05,,Yes,No,2,Today my teacher had tell that on 27th we have trip.I am very excited.first all of us said that we won’t come and after some time we think that only one trip is there in one year and ready to go 
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,19/11/2024 21:34:39,,Yes,No,1,Today I think it was a bad day for me.I feel alone and no one is talking to me except Hudha.In madrassa everyone laughed at me.they think it is funny but for me I hurt it.
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,20/11/2024 22:25:37,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,21/11/2024 21:55:34,,Yes,No,1,"Today was a great day. Today there special class for me.I want to go to the main road.I buy some sweets to school and we all share it and eat that.we were discussing about the tour.i am very excited,but my friends are not excited even though they are coming"
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,23/11/2024 21:49:47,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,25/11/2024 21:35:03,,Yes,No,1,Today I am very excited because tomorrow is my tour from school.so l won’t fill my form for two days.today principle mam said all the instruction.And one problem is there if they get the money all things will disappear and new things will happend 
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,26/11/2024 22:26:50,,Yes,No,3,"Today it was very sleepy bcz yesterday morning I reached here.the trip was wonderful we chilled 😎.i was very tired.and today I have a wedding function also,I don’t know how I go there with this tired face.sorry I can’t complete the form because I just slept early "
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,01/12/2024 22:08:04,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,05/12/2024 23:19:48,,Yes,No,1,"Today was a busy day because first of all I had decided to go to the dental clinic,the appoiment was on 12:30 and I had class today,so I cut the class.but my teacher call me and said today I have oppana practice.so first I went to my school at 11:30 and my  family was also there because my sister want to took admission.then we practiced for some time.after that we go to dental clinic and the doctor was so friendly I like her very much.that’s all "
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,07/12/2024 21:03:48,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,08/12/2024 22:33:56,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,09/12/2024 21:53:45,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,10/12/2024 21:54:48,,Yes,No,1,Today’s SOL’s class was great.the most think I like is the scitt. And the ten things you teach me was affective. Meghna mam’s story was very meaningful.
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,11/12/2024 21:51:06,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,12/12/2024 20:26:07,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,14/12/2024 20:52:25,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,15/12/2024 20:58:43,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,17/12/2024 21:25:51,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,18/12/2024 22:13:23,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,19/12/2024 20:24:17,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,21/12/2024 20:45:10,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,22/12/2024 21:12:10,,Yes,Yes,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,25/12/2024 20:13:58,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,28/12/2024 21:07:55,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,28/12/2024 21:10:31,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,29/12/2024 22:22:00,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,30/12/2024 20:52:11,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,01/01/2025 22:41:12,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,02/01/2025 22:40:19,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,03/01/2025 21:24:32,,Yes,Yes,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,04/01/2025 22:32:58,,Yes,No,5,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,07/01/2025 22:47:05,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,08/01/2025 22:08:33,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,10/01/2025 22:12:58,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,11/01/2025 22:49:35,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,14/01/2025 21:20:25,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,17/01/2025 20:39:47,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,19/01/2025 21:42:26,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,20/01/2025 22:24:14,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,21/01/2025 21:48:29,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,22/01/2025 20:39:32,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,23/01/2025 22:32:20,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,26/01/2025 20:16:49,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,27/01/2025 21:31:39,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,28/01/2025 22:19:24,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,29/01/2025 22:03:11,,No,No,3,"Today I was returning to home from school.At that time a lady enter to the bus,everyone was thinking that who is this.and she said that her bike was puncher and she want a lift.she was exhausted and the really sad thing is she have a small kid.I have a small sister and I know how my mother struggle to stop her cry.then the lady said many things to her kid but she didn’t hear it.then I realise that I have chocolate in my bag.I gave to her the chocolate and she stopped crying and I give seat to that lady and I helped her to remove her helmet.this make my day precious ❤️♥️"
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,30/01/2025 21:09:37,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,31/01/2025 23:06:25,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,03/02/2025 22:25:59,,Yes,No,3,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,04/02/2025 21:48:26,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,06/02/2025 22:18:50,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,08/02/2025 21:45:33,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,09/02/2025 22:40:22,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,11/02/2025 22:11:00,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,12/02/2025 22:06:13,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,15/02/2025 22:20:49,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,16/02/2025 22:50:11,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,17/02/2025 22:29:44,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,18/02/2025 20:27:14,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,19/02/2025 21:22:38,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,20/02/2025 22:00:40,,Yes,No,0,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,21/02/2025 21:24:12,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,23/02/2025 21:11:09,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,24/02/2025 21:07:50,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,25/02/2025 21:48:25,,Yes,No,1,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,27/02/2025 22:14:39,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,01/03/2025 21:57:48,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,03/03/2025 21:55:08,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,04/03/2025 21:57:07,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,05/03/2025 23:10:17,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,06/03/2025 22:01:13,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,09/03/2025 22:53:23,,Yes,No,2,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,10/03/2025 21:32:26,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,12/03/2025 22:43:37,,Yes,No,5,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,13/03/2025 22:34:35,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,17/03/2025 21:59:48,,Yes,No,7,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,19/03/2025 22:31:33,,Yes,No,6,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,20/03/2025 22:14:28,,Yes,No,4,
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,21/03/2025 22:52:26,,Yes,No,6,
AJWA FATHIMA. C.K,ajwafathima@gmail.com,9512345695,25/03/2025 22:01:35,,Yes,Yes,3,Nothing much
